"Tabela 1419 - IPCA - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de janeiro/2012 até dezembro/2019)"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Variável"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Brasil"
"Mês";"Geral, grupo, subgrupo, item e subitem";"IPCA - Variação mensal (%)";"IPCA - Peso mensal (%)"
"novembro 2012";"7201052.Locação de DVD";"-1,16";"0,1420"
"novembro 2012";"7201054.Boate e danceteria";"3,34";"0,2767"
"novembro 2012";"7201063.Jogos de azar";"0,00";"0,3972"
"novembro 2012";"7201068.Motel";"1,13";"0,0041"
"novembro 2012";"7201090.Hotel";"-0,39";"0,4026"
"novembro 2012";"7201095.Excursão";"6,55";"0,3520"
"novembro 2012";"7202.Fumo";"0,60";"0,8982"
"novembro 2012";"7203.Fotografia e filmagem";"-0,31";"0,0803"
"novembro 2012";"8101.Cursos regulares";"0,00";"2,8587"
"novembro 2012";"8102.Leitura";"0,01";"0,5470"
