"Tabela 2938 - IPCA - Variação mensal, acumulada no ano e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de julho/2006 até dezembro/2011)"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Variável"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Brasil"
"Mês";"Geral, grupo, subgrupo, item e subitem";"IPCA - Variação mensal (%)";"IPCA - Peso mensal (%)"
"abril 2007";"62.Serviços de saúde";"0,55";"5,0312"
"abril 2007";"63.Cuidados pessoais";"0,29";"2,3186"
"abril 2007";"71.Serviços pessoais";"0,44";"5,0225"
"abril 2007";"7201001.Cinema";"0,19";"0,3091"
"abril 2007";"7201003.Ingresso para jogo";"0,84";"0,0521"
"abril 2007";"7201006.Clube";"1,22";"0,2009"
"abril 2007";"7201008.Disco laser";"1,90";"0,2752"
"abril 2007";"7201010.Instrumento musical";"-0,88";"0,0963"
"abril 2007";"7201018.Compra e tratamento de animais";"0,85";"0,0678"
"abril 2007";"7201019.Bicicleta";"-0,15";"0,0853"
"abril 2007";"7201020.Alimento para animais";"1,28";"0,3248"
"abril 2007";"7201023.Brinquedo";"-0,58";"0,4620"
"abril 2007";"7201052.Aluguel de DVD e fita de videocassete";"0,28";"0,2384"
"abril 2007";"7201054.Boate, danceteria e discoteca";"1,35";"0,4402"
"abril 2007";"7201063.Jogos de azar";"0,00";"0,4220"
"abril 2007";"7201068.Motel";"0,78";"0,0839"
"abril 2007";"7201083.Material esportivo";"-0,94";"0,0052"
"abril 2007";"7201090.Hotel";"0,01";"0,3014"
"abril 2007";"7201095.Excursão";"0,15";"0,1129"
"abril 2007";"7202.Fumo";"0,71";"0,8080"
"abril 2007";"7203.Fotografia e filmagem";"-0,45";"0,2553"
"abril 2007";"8101.Cursos";"0,08";"4,9727"
"abril 2007";"8102.Leitura";"-0,17";"0,8220"
"abril 2007";"8103.Papelaria";"0,13";"0,3292"
"abril 2007";"8104.Cursos diversos";"0,00";"1,0761"
"abril 2007";"9.Comunicação";"0,24";"6,3239"
"maio 2007";"Índice geral";"0,28";"100,0000"
"maio 2007";"1.Alimentação e bebidas";"0,16";"20,7198"
"maio 2007";"2101.Aluguel e taxas";"-0,02";"6,3458"
"maio 2007";"2103.Reparos";"0,39";"1,4179"
"maio 2007";"2104.Artigos de limpeza";"0,75";"0,7784"
"maio 2007";"22.Combustíveis e energia";"0,32";"4,9867"
"maio 2007";"3.Artigos de residência";"-0,17";"4,6166"
"maio 2007";"4.Vestuário";"0,68";"6,4849"
"maio 2007";"5101.Transporte público";"0,17";"6,5865"
"maio 2007";"5102.Veículo próprio";"0,06";"8,9661"
"maio 2007";"5104.Combustíveis (veículos)";"0,58";"5,2186"
"maio 2007";"61.Produtos farmacêuticos e óticos";"0,61";"3,4208"
"maio 2007";"62.Serviços de saúde";"0,55";"5,0463"
"maio 2007";"63.Cuidados pessoais";"0,58";"2,3192"
"maio 2007";"71.Serviços pessoais";"0,69";"5,0315"
"maio 2007";"7201001.Cinema";"0,75";"0,3090"
"maio 2007";"7201003.Ingresso para jogo";"-0,10";"0,0524"
"maio 2007";"7201006.Clube";"0,67";"0,2028"
